Episode,Score,Average Score,Epsilon
100,21,17.68,0.03028852182453641
200,33,23.5,0.01834789108630836
300,14,29.59,0.011114609992037347
400,0,32.1,0.009954100115949426
500,7,25.11,0.009954100115949426
600,27,30.78,0.009954100115949426
700,44,25.76,0.009954100115949426
800,27,27.04,0.009954100115949426
900,17,28.97,0.009954100115949426
1000,29,28.14,0.009954100115949426
